Year,Time,Date,TextLocation,StandLocation,Latitude,Longitude,ClimateEvent,Impact,Reference
1478,"""1478-01-01 00:00:01+1""",10-09-1478,"Four vills near the chapel of St. Edmund, Stulton, in the diocese of Worcester","Stoulton, Worcestershire",52.14653423,-2.138212933,"Road dangers, floods",Lack of access to parish church,"Vol. 13, p. 623"
1476,"""1476-01-01 00:00:01+1""",24-02-1476,Canonry and prebend of Kylimgayn in the church of Tuam,"Kilmaine, Co. Mayo",53.58143632,-9.122402459,Slenderness of fruits,Loss of revenue,"Vol. 13,pp. 533-534"
1472,"""1472-01-01 00:00:01+1""",29-11-1472,Convent of Jervaulx in the diocese of York,"Jervaulx Abbey, Yorkshire",54.26719322,-1.737835531,"Floods, other disasters (exacerbated by wars)",Loss of revenue,"Vol. 13,pp. 326-327"
1476,"""1476-01-01 00:00:01+1""",06-03-1476,Monastery of O'Dorney (de Kyrieleyson) in the diocese of Ardfert,"Kyrie Eleison Abbey, Abbeydorney, Co. Kerry",52.35353277,-9.687164973,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 476"
1477,"""1477-01-01 00:00:01+1""",01-10-1477,Perpetual vicarages of the parish churches of Carydunayn and Dyrivoyleayn in the diocese of Cloyne,"Parish churches in Derryvillane and Carrigdownane, Co. Cork",52.21866236,-8.386607163,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 595"
1473,"""1473-01-01 00:00:01+1""",17-07-1473,Archiepiscopal mensa of archdiocese of Cashel,"Archiepiscopal mensa of the archdiocese of Cashel (Rock of Cashel, Co. Tipperary)",52.52014809,-7.890441474,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 346"
1482,"""1482-01-01 00:00:01+1""",31-12-1482,Archdeaconry of Clonfert,"Archdeaconry of Clonfert (Clonfert Cathedral, Clonfert, Co. Galway)",53.24081067,-8.058378631,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 121"
1483,"""1483-01-01 00:00:01+1""",23-07-1483,Episcopal mensa of Ross,"Episcopal mensa of Ross (Cathedral Church of St. Fachtna, Rosscarbery, Co. Cork)",51.57807003,-9.029619174,Slenderness of fruits,Loss of revenue,"Vol. 13, 146-147"
1474,"""1474-01-01 00:00:01+1""",18-03-1474,"Monastery of St. Mary's, Kilbeggan, in the diocese of Meath","De Benedictio Dei Abbey, Kilbeggan, Co. Westmeath",53.36613606,-7.503503756,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 412"
1474,"""1474-01-01 00:00:01+1""",13-02-1474,"Priory of St. Catherine's, Achdrumomane, in the diocese of Clonfert","Aughrim Priory, Foats, Co. Galway",53.3043275,-8.313657231,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 373"
1475,"""1475-01-01 00:00:01+1""",27-09-1475,Monastery of St. Keranus de Sayr in the diocese of Ossory,"Seirkieran Priory, Churchland, Co. Offaly",53.07083789,-7.792867197,Slenderness of fruits,Loss of revenue,"Vol. 13, pp. 443-444"
1475,"""1475-01-01 00:00:01+1""",19-12-1475,Parish church of Trally in the diocese of Ardfert,"Church of St. John, Tralee, Co. Kerry",52.27100886,-9.703882497,Slenderness of fruits,Loss of revenue,"Vol. 13, p. 445"
1477,"""1477-01-01 00:00:01+1""",08-08-1477,Parish church of Clocluayneas in the diocese of Clogher,"Clones, Co. Monaghan",54.1780399,-7.231118675,Slenderness of fruits,Loss of revenue,"Vol. 13, pp. 579-580"
1470,"""1470-01-01 00:00:01+1""",17-11-1470,Town of Vennistratforth and village of Cotmanend in the diocese of Lincoln,"Fenny Stratford, Buckinghamshire",51.99823743,-0.716078077,"Bad and very muddy road, robbers, and other inconveniences",Lack of access to parish church,"Vol. 12, pp. 784-5"
1464,"""1464-01-01 00:00:01+1""",20-03-1464,"Chapel of St. Mary (called Mersschapell), situate by the seashore within the bounds of the parish church of Fulstowe in the diocese of Lincoln","Marshchapel, Lincolnshire",53.46866816,0.047018767,Floods and other perils of the way,Lack of access to parish church,"Vol. 12, pp. 222-3"
1466,"""1466-01-01 00:00:01+1""",21-07-1466,Monastery of Louth Park in the diocese of Lincoln,"Louth Park Abbey, Lincolnshire",53.37089082,0.029468431,Chapel of St. Mary granted burial privileges due to floods,Loss of revenue,"Vol. 12, pp. 537-8"
1466,"""1466-01-01 00:00:01+1""",02-05-1466,Valley of Langsleiddall in the diocese of York,"Longsleddale, Cumbria",54.41817,-2.7720169,"Floods, tempests, storms, droughts, and various other inconveniences",Lack of access to parish church,"Vol. 12, pp. 530-1"
1467,"""1467-01-01 00:00:01+1""",06-11-1467,Chapel of St. Mary on the gate of the manor de la Mote,"Moat Farm, Iden, East Sussex",50.983528,0.70466694,Slenderness of fruits,Loss of revenue,"Vol. 12, p. 608"
1466,"""1466-01-01 00:00:01+1""",25-01-1466,"St. Mary's, Luton, diocese of Lincoln","Luton, Bedfordshire",51.87892957,-0.410495392,Scarcity of fish and other Lenten foods,Inability to keep fast,"Vol. 12, pp. 492-3"
1467,"""1467-01-01 00:00:01+1""",30-09-1467,Entire realm,Entire realm (geolocated to Westminster Palace),51.49958624,-0.124809202,Scarcity of olive oil,Inability to keep fast,"Vol. 12, p. 273"
1456,"""1456-01-01 00:00:01+1""",5 Kal. Dec.,Parish church of Mancestre,"Church of Saint Peter, Mancetter, Warwickshire",52.567136,-1.5287951,Barrenness of lands; floods,Financial loss,"Vol. 11, pp. 49-51"
1456,"""1456-01-01 00:00:01+1""",9 Kal. March,Parish church of Great Dunmowe in diocese of London,"Chapel of St. George the Martyr, Great Dunmow, Essex",51.871945,0.36191985,"Swamps, floods",Lack of access to parish church,"Vol. 11, p. 92"
1456,"""1456-01-01 00:00:01+1""",Prid. Id. July,Place of Veschanam [Westhanam] in diocese of Worcester,"Church of St George, Hanham Abbots, Gloucestershire",51.430331,-2.5057598,"Floods, crossing of bridge over impetuous river",Lack of access to cemetery,"Vol. 11, p. 116"
1458,"""1458-01-01 00:00:01+1""",3 Id. Dec.,Cistercian monastery of Louth Park in diocese of Lincoln,"Louth Park Abbey, Lincolnshire",53.376446,0.034759339,"Fire, floods",Financial loss,"Vol. 11, p. 513"
1459,"""1459-01-01 00:00:01+1""",10 Kal. May,Town of Bykton,"Remains of Church of the Holy Trinity, Bicton, Shropshire",52.730925,-2.8225617,"Mud, snow, floods",Lack of access to parish church,"Vol. 11, pp. 534-5"
1462,"""1462-01-01 00:00:01+1""",7 Kal. Sept.,Chapel of St. Mary called Merchchapelle in parish of Fulstowe in diocese of Lincoln,"Marshchapel, Lincolnshire",53.46866816,0.047018767,"Bad weather, floods",Lack of access to cemetery,"Vol. 11, pp. 630-1"
1463,"""1463-01-01 00:00:01+1""",5 Kal. Feb.,Town of Poynton in diocese of Lincoln,"Pointon, Lincolnshire",52.87296,-0.346273854,Floods,Lack of access to parish church,"Vol. 11, p. 643"
1464,"""1464-01-01 00:00:01+1""",5 Kal. June,Cistercian monastery of Cupar in diocese of St Andrews,Coupar Angus Abbey,56.54313737,-3.264543073,Sea floods,Financial loss,"Vol. 11, p. 678"
1455,"""1455-01-01 00:00:01+1""",12 Kal. May,"Augustinian monastery of St. Mary Magdalen, Lanrecoost, in diocese of Carlisle",Lanercost Priory,54.96598537,-2.694983918,Floods,Financial loss,"Vol. 11, p. 15"
1457,"""1457-01-01 00:00:01+1""",15 Kal. Sept.,Benedictine monastery of St. Mary without the walls of York,"St. Mary's Abbey, York",53.96220107,-1.089464902,Riverine flooding,Ruin of buildings; financial loss,"Vol. 11, pp. 62-3"
1457,"""1457-01-01 00:00:01+1""",Id. April,Town or hamlet of Wynnesley in diocese of Salisbury,"Church of St. Nicholas, Winsley, Wiltshire",51.347478,-2.2897298,"Mud, winter weather",Lack of access to cemetery,"Vol. 11, p. 144"
1448,"""1448-01-01 00:00:01+1""",6 Id. June,Cluniac priory of St. Mary's de Thetfordi in diocese of Norwich,"Priory of St. Mary's, Thetford",52.41664564,0.742573964,Slender fruits,Financial loss,"Vol. 10, p. 26"
1453,"""1453-01-01 00:00:01+1""",4 Id. April,Augustinian monastery of Wyrkesopp in diocese of York,Worksop Priory,53.30391121,-1.115675702,Barren land; slender fruits,Financial loss,"Vol. 10, pp. 131-2"
1453,"""1453-01-01 00:00:01+1""",Prid. Non. July,"Benedictine monastery of St. German, Sewy [Selby] in diocese of York",Selby Abbey,53.78416026,-1.067084702,"Damming of the waters of the Ouse, Trent, Ayre, Wharffe, and Mardicke",Financial loss,"Vol. 10, pp. 246-9"
1453,"""1453-01-01 00:00:01+1""",Prid. Id. June,"Augustinian priory of Spyney and parish church of Wykyn; Benedictine priory of Malycourt and parish church of Fedeston, all in diocese of Norwich","St. Lawrence Church, Wicken",52.309968,0.31181932,Barren land; slender fruits,Financial loss,"Vol. 10, p. 251"
1453,"""1453-01-01 00:00:01+1""",Prid. Id. June,"Augustinian priory of Spyney and parish church of Wykyn; Benedictine priory of Malycourt and parish church of Fedeston, all in diocese of Norwich","Church of St. Mary the Virgin, Fodderstone [now Shouldham Thorpe], Norfolk",52.644386,0.45384565,Barren land; slender fruits,Financial loss,"Vol. 10, p. 251"
1450,"""1450-01-01 00:00:01+1""",12 Kal. Sept.,Monaincha [de Insula viventium] in diocese of Killaloe,"Monaincha Abbey, Co. Tipperary",52.94632352,-7.747986745,Slender fruits,Financial loss,"Vol. 10, p. 463"
1454,"""1454-01-01 00:00:01+1""",Non. Dec.,England,England,51.49957145,-0.124821945,"Storms of sea, tempests of winter, impetuous and rapid floods",Danger; inability to travel,"Vol. 10, p. 266"
1452,"""1452-01-01 00:00:01+1""",4 Kal. Aug.,Town of Quenboruch in diocese of Canterbury,"Church of the Holy Trinity, Queenborough",51.417614,0.74427587,Snows and floods,Lack of access to parish church,"Vol. 10, pp. 609-10"
1454,"""1454-01-01 00:00:01+1""",4 Kal. March,Town of Ayrmyn in diocese of York,Airmyn,53.717286,-0.90288702,Floods,Lack of access to parish church,"Vol. 10, p. 661"
1448,"""1448-01-01 00:00:01+1""",Kal. March,"Parish church of St. Michael, Darby, and dependent chapel of Alwaston in diocese of Coventry and Lichfield","Church of St Michael, Alvaston",52.895724,-1.4187498,Wintry and rainy weather,Lack of access to parish church,"Vol. 10, pp. 351-2"
1440,"""1440-01-01 00:00:01+1""",7 Id. July,"Brentwode in the diocese of London, parish church of Sowthwel","Church of St Peter, South Weald, Brentwood",51.621098,0.26796446,Floods,Lack of access to parish church,"Vol. 9, p. 112"
1442,"""1442-01-01 00:00:01+1""",16 Kal. July,Parish church of Aldebury in diocese of Lincoln,"Pendley [deserted medieval settlement], Hertfordshire",51.795993,-0.63254637,Muddy roads in wintry and rainy weather,Lack of access to parish church,"Vol. 9, p. 255-6"
1443,"""1443-01-01 00:00:01+1""",Id. Aug.,Cistercian monastery of Melrose in diocese of Glasgow,Melrose Abbey,55.59967981,-2.718001502,Storms of rain and wind,Lack of access to parish church,"Vol. 9, p. 412-3"
1444,"""1444-01-01 00:00:01+1""",5 Id. Dec.,"Villages of Willestourne, Gabelcote, Mershe, and Sterthuntishend' in the parish of Trynge in the diocese of Lincoln","Wilstone, Hertfordshire",51.815529,-0.68998504,"Floods, dangerous crossing of wooden bridges, perils of the roads, frequent tempests",Lack of access to parish church,"Vol. 9, p. 461-2"
1445,"""1445-01-01 00:00:01+1""",10 Kal. Oct.,Valley of Eschdale in diocese of York,"Church of St Catherine, Eskdale, Cumbria",54.391115,-3.2705838,Floods (two broad waters and three streams),Lack of access to parish church,"Vol. 9, p. 480-1"
1443,"""1443-01-01 00:00:01+1""",17 Kal. Sept.,Cistercian monastery of Bokelond in diocese of Exeter,Buckland Abbey,50.4837085,-4.13077553,Slender fruits,Financial loss,"Vol. 9, p. 349"
1446,"""1446-01-01 00:00:01+1""",4 Kal. Nov.,"Monastery of St. Mary and St. Thomas the Martyr, Hagneby, in the diocese of Lincoln",Hagnaby Abbey,53.302012,0.22581,"Fires, floods, other calamities",Financial loss,"Vol. 9, p. 568"
1440,"""1440-01-01 00:00:01+1""",14 Kal. July,Monastery of the town of Redyng in diocese of Salisbury,Reading Abbey,51.4567062,-0.965120868,"Pollution of river ""Le Pyndesuclye""","Illness, lack of ability to perform religious practices","Vol. 9, p. 108-9"
1439,"""1439-01-01 00:00:01+1""",12 Kal. April,Town of Glapthorne in diocese of Lincoln,"Church of St. Leonard, Glapthorn",52.500112,-0.49262487,Floods,Lack of access to cemetery,"Vol. 9, p. 63"
1441,"""1441-01-01 00:00:01+1""",13 Kal. May,Chapel of Menethesloyn and chapel of Bedwellte in diocese of Llandaff (depending on parish church of Basleg),Bedwellty,51.69543623,-3.207189558,"Floods, breaking of bridges",Lack of access to chapel,"Vol. 9, p. 203-4"
1446,"""1446-01-01 00:00:01+1""",6 Kal. Sept.,Town of borough of Taunton in diocese of Bath and Wells,"Church of St Mary Magdalene, Taunton",51.015575,-3.1019167,Riverine floods,Lack of access to cemetery,"Vol. 9, p. 557"
1429,"""1429-01-01 00:00:01+1""",6 Id. Dec.,"Augustinian monastery of St. Mary, Norton, in diocese of Lichfield",Norton Priory,53.34266741,-2.680213371,Riverine flooding of Mersey,Financial loss,"Vol. 8, pp. 169-70"
1430,"""1430-01-01 00:00:01+1""",10 Kal. March,Town of Whytby in diocese of York,Whitby,54.486388,-0.61379909,Sea flood,Ruin of buildings,"Vol. 8, p. 167"
1427,"""1427-01-01 00:00:01+1""",10 Kal. Nov.,"Town of Boston in diocese of Lincoln, towns of Seynt Saviour in Kestevyri, Spaldyng, Stykford, and Wayntlete in same diocese",Boston,52.97499823,-0.023487092,"Sea flood, broken bridges",Financial loss (to town),"Vol. 8, p. 23"
1429,"""1429-01-01 00:00:01+1""",2 Id. March,Town of Waplod in diocese of Lincoln,"Church of St Mary, Whaplode",52.797452,-0.03843094,"Floods, muddy roads",Lack of access to parish church,"Vol. 8, p. 84"
1431,"""1431-01-01 00:00:01+1""",5 Id. March,Town of Honyton in diocese of Exeter,"Church of St Michael, Honiton, Devon",50.732521,-3.4333314,Riverine flooding,Lack of access to parish church,"Vol. 8, p. 332"
1435,"""1435-01-01 00:00:01+1""",6 Kal. Feb.,Hampreston in the diocese of Salisbury,"Church of All Saints, Hampreston",50.788789,-1.9230859,Winter floods,Lack of access to cemetery,"Vol. 8, p. 505"
1436,"""1436-01-01 00:00:01+1""",8 Kal. May,Ekynton in diocese of Worcester,"Church of the Holy Trinity, Eckington",52.071001,-2.1149316,Winter floods,Lack of access to cemetery,"Vol. 8, p. 602"
1437,"""1437-01-01 00:00:01+1""",Prid. Non. May,Abbey of Meaux/Melsa in diocese of York,Meaux Abbey,53.83911139,-0.339900887,"Sea floods, riverine floods",Financial loss,"Vol. 8, p. 642"
1429,"""1429-01-01 00:00:01+1""",3 Id. July,"Hospitallers' house of St. John Baptist, Kilkenny, in diocese of Meath","St. John's Priory, Kilkenny",52.65371761,-7.248465606,Slender fruits,Financial loss,"Vol. 8, p. 145"
1435,"""1435-01-01 00:00:01+1""",12 Kal. Aug.,Killeadhamur in diocese of Clonfert,"Killimordaly, Co. Galway",53.30611639,-8.596100727,Slender fruits,Financial loss,"Vol. 8, p. 530"
